epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.87159,1.73912,10.6314,0.02921,0.00614,0.9193,0.11021,0.04748,1.2578,19.8226,0.02482,0.000410354,0.000410354,0.000410354
2,19.4327,1.44181,8.64095,0.02272,0.43006,0.25713,0.20905,0.07867,1.62138,18.3895,0.03378,0.000826998,0.000826998,0.000826998
3,28.7782,1.44158,7.32263,0.02255,0.34013,0.36428,0.31878,0.11767,1.63719,15.1511,0.03488,0.00124355,0.00124355,0.00124355
4,38.1124,1.51522,6.20923,0.02345,0.42257,0.2996,0.3037,0.10815,1.84736,13.9733,0.03995,0.00124969,0.00124969,0.00124969
5,47.4441,1.50694,5.3557,0.02378,0.34131,0.47865,0.37089,0.13867,1.60345,9.55165,0.03508,0.00124946,0.00124946,0.00124946
6,56.8579,1.50065,4.4624,0.02358,0.4043,0.44808,0.3768,0.1235,1.71862,8.42525,0.03842,0.00124915,0.00124915,0.00124915
7,66.1403,1.50935,4.07842,0.02437,0.57257,0.58428,0.62649,0.27966,1.48798,6.1075,0.03148,0.00124878,0.00124878,0.00124878
8,75.4945,1.54605,3.33166,0.02389,0.70142,0.52302,0.67406,0.34011,1.4511,4.74478,0.02995,0.00124834,0.00124834,0.00124834
9,84.8951,1.53476,2.86396,0.02445,0.74767,0.66327,0.78299,0.42417,1.42383,3.69296,0.02802,0.00124783,0.00124783,0.00124783
10,94.1942,1.58953,2.7307,0.02551,0.74871,0.71181,0.80605,0.48022,1.36175,3.26112,0.02914,0.00124725,0.00124725,0.00124725
11,103.507,1.58635,2.4539,0.02483,0.77823,0.78353,0.85333,0.47211,1.45284,2.66741,0.02874,0.00124661,0.00124661,0.00124661
12,112.707,1.57442,2.23648,0.02596,0.7637,0.73995,0.80787,0.33913,1.90333,2.79028,0.04008,0.0012459,0.0012459,0.0012459
13,122.096,1.56591,2.09447,0.02418,0.77915,0.70431,0.80589,0.35005,1.95948,2.48718,0.04288,0.00124512,0.00124512,0.00124512
14,131.347,1.55315,2.1162,0.02497,0.79832,0.70115,0.8297,0.3388,1.78978,2.34343,0.04071,0.00124428,0.00124428,0.00124428
15,140.647,1.57211,1.96039,0.02574,0.75551,0.78986,0.83161,0.39689,1.54481,1.94352,0.03127,0.00124336,0.00124336,0.00124336
16,149.885,1.56729,1.88864,0.02496,0.83257,0.81336,0.90369,0.54855,1.38849,1.58985,0.02844,0.00124238,0.00124238,0.00124238
17,159.275,1.54979,1.78489,0.02548,0.84839,0.81597,0.9098,0.48613,1.63491,1.62403,0.03676,0.00124134,0.00124134,0.00124134
18,168.552,1.56639,1.70999,0.0242,0.77901,0.84828,0.88531,0.50715,1.49532,1.49262,0.03198,0.00124022,0.00124022,0.00124022
19,177.763,1.58393,1.77754,0.02493,0.86873,0.84412,0.91526,0.46578,1.66187,1.40194,0.03754,0.00123904,0.00123904,0.00123904
20,187.023,1.57711,1.6165,0.0247,0.83072,0.85404,0.919,0.50076,1.55224,1.26219,0.03463,0.00123779,0.00123779,0.00123779
21,196.385,1.58012,1.58499,0.02599,0.8343,0.88965,0.93475,0.6173,1.21028,1.19031,0.02504,0.00123648,0.00123648,0.00123648
22,205.646,1.50798,1.51413,0.02417,0.86584,0.82739,0.90946,0.46909,1.69294,1.26134,0.03794,0.0012351,0.0012351,0.0012351
